,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
0,1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
1,2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
2,3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
3,4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
4,5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
5,6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
6,7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
7,8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
8,9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
9,10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
10,11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
11,12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
12,13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
13,14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
14,15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
15,16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
16,17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
17,18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
18,19,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
19,20,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
20,23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
21,24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
22,25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
23,26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
24,27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
25,28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
26,29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
27,30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
28,31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
29,32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
30,33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
31,34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
32,35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
33,36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
34,37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
35,38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
